Player,MIN,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK
Chris Boucher,13.2,6.6,2.3,4.8,0.6,1.9,1.5,1.9,1.7,2.7,4.5,0.4,0.5,1.0,1.8
Chris Chiozza,14.3,5.1,2.0,5.0,1.0,2.6,0.2,0.2,0.3,1.6,1.9,3.0,1.1,0.1,1.3
Chris Clemons,8.8,4.9,1.7,4.3,1.1,3.2,0.3,0.3,0.1,0.8,0.9,0.8,0.6,0.2,0.8
Chris Paul,31.5,17.6,6.2,12.7,1.6,4.3,3.6,4.0,0.4,4.6,5.0,6.7,2.3,0.2,2.3
Chris Silva,7.9,3.0,1.1,1.8,0.0,0.1,0.8,1.3,1.4,1.5,2.9,0.5,0.7,0.5,1.9
Christian Wood,21.4,13.1,4.6,8.2,0.9,2.3,2.9,3.9,1.7,4.6,6.3,1.0,1.4,0.9,1.6
Clint Capela,32.8,13.9,6.3,9.9,0.0,0.0,1.4,2.7,4.3,9.5,13.8,1.2,1.6,1.8,2.6
Coby White,25.8,13.2,4.8,12.2,2.0,5.8,1.6,2.0,0.4,3.1,3.5,2.7,1.7,0.1,1.8
Cody Martin,18.8,5.0,1.9,4.3,0.4,1.6,0.9,1.4,0.8,2.5,3.3,2.0,0.9,0.2,1.6
Cody Zeller,23.1,11.1,4.3,8.3,0.3,1.3,2.1,3.1,2.8,4.3,7.1,1.5,1.3,0.4,2.4
Collin Sexton,33.0,20.8,7.9,16.7,1.5,3.9,3.5,4.1,0.9,2.2,3.1,3.0,2.4,0.1,2.2
Corey Brewer,6.5,1.0,0.4,0.8,0.0,0.2,0.2,0.6,0.4,1.2,1.6,0.4,0.4,0.0,1.4
Cory Joseph,24.4,6.4,2.4,5.7,0.8,2.2,0.8,1.0,0.6,2.0,2.6,3.5,1.1,0.3,1.8
Courtney Lee,14.4,4.5,1.7,3.4,0.9,2.0,0.3,0.3,0.3,1.0,1.3,0.5,0.5,0.3,1.4
Cristiano Felicio,17.5,3.9,1.5,2.5,0.0,0.1,0.8,1.0,2.5,2.1,4.6,0.7,0.8,0.1,1.5
D'Angelo Russell,32.3,23.1,8.0,18.8,3.5,9.6,3.6,4.4,0.4,3.6,3.9,6.3,3.3,0.3,1.9
D.J. Augustin,24.9,10.5,3.2,8.1,1.2,3.5,2.8,3.2,0.4,1.8,2.1,4.6,1.5,0.0,1.3
D.J. Wilson,9.8,3.6,1.4,3.6,0.5,2.0,0.3,0.5,0.3,2.2,2.5,0.7,0.5,0.1,0.9
DaQuan Jeffries,10.9,3.8,1.5,3.1,0.4,1.4,0.4,0.5,0.2,1.2,1.4,0.5,0.2,0.1,1.5
Damian Jones,16.1,5.6,2.2,3.2,0.0,0.2,1.1,1.5,1.3,2.4,3.7,0.6,0.5,0.7,2.7
Damian Lillard,37.5,30.0,9.5,20.4,4.1,10.2,7.0,7.8,0.5,3.8,4.3,8.0,2.9,0.3,1.7
Damion Lee,29.0,12.7,4.3,10.4,1.7,4.9,2.2,2.6,0.7,4.2,4.9,2.7,1.4,0.1,2.4
Damyean Dotson,17.4,6.7,2.5,6.0,1.2,3.4,0.5,0.7,0.2,1.7,1.9,1.2,0.4,0.1,0.9
Daniel Gafford,14.2,5.1,2.2,3.1,0.0,0.0,0.7,1.4,1.2,1.3,2.5,0.5,0.7,1.3,2.3
Daniel Theis,24.1,9.2,3.7,6.6,0.5,1.5,1.3,1.8,2.2,4.4,6.6,1.7,0.8,1.3,3.4
Danilo Gallinari,29.6,18.7,5.8,13.2,2.9,7.1,4.3,4.8,0.5,4.6,5.2,1.9,1.2,0.1,1.2
