id,Player,Seasons,Possessions,Rapm
825,Chris Andersen,2017-21,445,0.2
407,Ky Bowman,2017-21,4196,0.19
432,Kent Bazemore,2017-21,36148,0.19
793,Damien Wilkins,2017-21,599,0.19
879,Bobby Portis,2017-21,31344,0.19
598,Jaden McDaniels,2017-21,6332,0.18
604,Jabari Bird,2017-21,456,0.18
402,Kyle Korver,2017-21,30973,0.17
577,James Johnson,2017-21,29005,0.17
142,Shane Larkin,2017-21,4200,0.16
752,DeMarcus Cousins,2017-21,24227,0.16
748,Deni Avdija,2017-21,5399,0.15
855,Bruce Brown,2017-21,20816,0.15
869,Brandon Clarke,2017-21,11544,0.15
873,Brad Wanamaker,2017-21,13666,0.15
65,Ty Lawson,2017-21,6866,0.14
243,Obi Toppin,2017-21,3158,0.14
292,Miles Bridges,2017-21,22707,0.14
905,Anthony Morrow,2017-21,3091,0.14
347,Marcin Gortat,2017-21,25853,0.13
20,Willy Hernangomez,2017-21,15696,0.12
374,Louis King,2017-21,594,0.12
449,Kadeem Allen,2017-21,2592,0.12
504,Johnathan Williams,2017-21,2261,0.12
627,Ignas Brazdeikis,2017-21,1227,0.12
320,Matt Barnes,2017-21,7519,0.11
523,Joakim Noah,2017-21,7199,0.11
141,Shaquille Harrison,2017-21,11144,0.1
192,Richard Jefferson,2017-21,8485,0.1
306,Michael Beasley,2017-21,11821,0.1
696,E'Twaun Moore,2017-21,32808,0.1
728,Devon Hall,2017-21,355,0.1
10,Zach LaVine,2017-21,35298,0.08
185,Robert Williams III,2017-21,8412,0.08
612,Isaiah Thomas,2017-21,22924,0.08
689,Elijah Bryant,2017-21,542,0.08
725,Dewan Hernandez,2017-21,121,0.08
82,Travis Wear,2017-21,917,0.07
680,Eric Mika,2017-21,80,0.07
107,Terry Rozier,2017-21,47534,0.06
671,Frank Kaminsky,2017-21,24823,0.06
30,Wendell Carter Jr.,2017-21,15205,0.05
73,Trey Lyles,2017-21,21252,0.05
74,Trey Burke,2017-21,17794,0.05
164,Ryan Kelly,2017-21,431,0.03
319,Matt Costello,2017-21,122,0.03
